№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;;;;;;;;;
159;"""Дубівська липа""";пам`ятка природи;ботанічна;0,02;Борщівський район,  с.Дубівка;Бурдяківська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. №496;;;;;;;;;;;;;
160;"""Яблунівська липа""";пам`ятка природи;ботанічна;0,03;Гусятинський район,  с.Яблунів, старий парк;Яблунівський дитячий тубсанаторій;Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645 ;;;;;;;;;;;;;
161;"""Іванківські  липи""";пам`ятка природи;ботанічна;0,2;Борщівський район,  с.Іванків, на околиці села;Служба автомобільних доріг в Тернопільськії області;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
162;"""Гусятинські вікові липи""";пам`ятка природи;ботанічна;0,04;"Гусятинський район, смт. Гусятин,  Гусятинське  л-во, кв.58 в.6, лісове урочище ""Дача ""Гусятин""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;
163;"""Липова алея""";пам`ятка природи;ботанічна;0,6;Кременецький район,  м.Почаїв, вул. Липова;Почаївський комбінат комунальних підприємств;Рiшення виконавчого комітету Тернопільської обласної ради від 21.12.1974 р.  №554                          ;;;;;;;;;;;;;
164;"""Лисичниківські  липи""";пам`ятка природи;ботанічна;0,04;Заліщицький район,  с.Лисичники, в центрі села, біля автобусної зупинки;Касперівська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
165;"""Гніздо лип №1""";пам`ятка природи;ботанічна;0,04;Бучацький район,  м.Бучач, вул. Степана Бандери, садиба райзакладу ветмедицинии;Бучацький районний заклад ветеринарної медицини;Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. №496;;;;;;;;;;;;;
166;"""Гніздо лип №2""";пам`ятка природи;ботанічна;0,04;Бучацький район,  м.Бучач, вул. Степана Бандери, садиба райзакладу ветмедицинии;Бучацький районний заклад ветеринарної медицини;Рiшення виконавчого комітету Тернопільської обласної ради від 26.12.1983 р. №496;;;;;;;;;;;;;
167;"""Кретівські липи""";пам`ятка природи;ботанічна;0,1;Збаразький район, в межах старого кладовища (7 лип) та пасовища (1 липа), с.кретівці;Кретівська сільська рада;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
168;"""Липа Івана Франка""";пам`ятка природи;ботанічна;0,01;Зборівський район, с.Курівці, в 200 метрав від залізничного переїзду, біля магазину;Курівецька сільська рада;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
169;"""Липи Ліпінського""";пам`ятка природи;ботанічна;0,06;Зборівський район, с.Вірлів, біля могили відомого скрипаля Кароля Ліпінського;Вірлівська сільська рада;Рішення Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
170;"""Черніховецькі липи""";пам`ятка природи;ботанічна;0,045;Збаразький район, в межах кладовища та церкви пресвятої Трійці на кінці вул. Княжа;Черниховецька сільська рада;Рішення Тернопільської обласної ради  від 14.07.2011 р. №1217;;;;;;;;;;;;;
171;"""Рожиська липа""";пам`ятка природи;ботанічна;0,01;Підволочиський район, с.Рожиськ, на території господарського двору;Рожиська сільська рада;Рішення Тернопільської обласної ради  від 14.07.2011 р. №1217;;;;;;;;;;;;;
172;"""Більче-Золотецькі тополі""";пам`ятка природи;ботанічна;0,03;Борщівський район, с.Більче-Золоте, західна околиця, біля автошляху;Більче-Золотецька сільська рада;Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;
173;"""Гусятинська тополя""";пам`ятка природи;ботанічна;0,02;"Гусятинський ра-йон, смт. Гусятин,  Гусятинське л-во, кв.58 в.8, лісове урочище"" Дача ""Гусятин""";"ДП ""Чорткiвське лiсове господарство""  ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
174;"""Верба біла""";пам`ятка природи;ботанічна;0,02;Кременецький район,  с.Великі  Млинівці;Великомлинівецька сільська рада ;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;
175;"""Вікові дерева модрини""";пам`ятка природи;ботанічна;0,02;"Тернопільський район, с.Підгороднє, Тернопільське лісництво, кв.49 в.3, лісове урочище ""Іванівці""";"ДП ""Тернопільське лісове господарство""       ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
176;"""Сосна Лесі Українки""";пам`ятка природи;ботанічна;0,05;"Шумський район,  с.Малі Садки,  Суразьке л-во, кв.142 в.5, лісове урочище ""Суразька дача""";"ДП ""Кременецьке лiсове господарство""  ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.10.1967 р. №734 ;;;;;;;;;;;;;
177;"""Монастирські сосни""";пам`ятка природи;ботанічна;0,4;Чортківський район, м.Чортків, вул. Монастирська,1;Чортківська міська рада;Рішення Тернопільської обласної ради  від 20.08.2010 р. №1043;;;;;;;;;;;;;
178;"""Рукомишський явір""";пам`ятка природи;ботанічна;0,03;Бучацький район,  с.Рукомиш, біля церкви та травертинових скель;Заривинецька сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;
179;"""Монастириські ясени""";пам`ятка природи;ботанічна;0,02;Монастириський район,  м.Монастириська, вул.Шевченка,69, поряд із  Церквою Пресвятої Богородиці Української автокефальної православної церки;Монастириський комбінат комунальних підприємств;Рiшення виконавчого комітету Тернопільської обласної ради вiд 17.11.1969 р. №747                                                    ;;;;;;;;;;;;;
180;"""Скала-Подільський ясен""";пам`ятка природи;ботанічна;0,02;"Борщівський район, смт.Скала-Подільська,  Скала-Подільське л-во, кв.55 в.3, лісове урочище ""Дача ""Скала-Подільська""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради  вiд  21.12.1974р. №554 ;;;;;;;;;;;;;
181;"""Ясен Генріха Борковського""";пам`ятка природи;ботанічна;0,04;Борщівський район, смт.Мельниця-Подільська,   селищний парк;Мельнице-Подільська селищна рада;Рішення Тернопільської обласної ради  від 14.04.2011 р. №1149;;;;;;;;;;;;;
182;"""Дерево Міцкевича""";пам`ятка природи;ботанічна;0,01;Гусятинський район,  смт.Гримайлів, вул.Міцкевича, біля пам'ятного знаку;Гримайлівська селищна рада;Рішення  Тернопільської обласної ради від 25.04.1996р.№90;;;;;;;;;;;;;
183;"""Косівський ясен""";пам`ятка природи;ботанічна;0,02;"Чортківський район,  с.Косів, між конторою  ВАТ ""Агропромтехніка"" та житлового будинку по вул. І.Франка";"ВАТ ""Агропромтехніка""";Рішення  Тернопільської обласної ради від 18.03. 1994 р.;;;;;;;;;;;;;
184;"""Новосілківські берести""";пам`ятка природи;ботанічна;0,04;Заліщицький район,  с.Новосілка, в центрі села на роздоріжжі, біля хреста;Новосілківська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645        ;;;;;;;;;;;;;
185;"""Великомлинівецький берест""";пам`ятка природи;ботанічна;0,02;Кременецький район,  с.Великі Млинівці, біля клубу;Великомлинівецька сільська рада ;Рiшення виконавчого комітету Тернопільської обласної ради вiд 21.12.1974 р.  №554                          ;;;;;;;;;;;;;
186;"""Гінкго дволопатеве""";пам`ятка природи;ботанічна;0,02;Заліщицький район,  м. Заліщики, вул. Ольжича, 3а, садиба школи №2;Заліщицька загальноосвітня школа  I-III  ступенів;Рiшення виконавчого комітету Тернопільської обласної ради вiд 20.12.1968 р. №870                             ;;;;;;;;;;;;;
187;"""Бундук канадський""";пам`ятка природи;ботанічна;0,01;Заліщицькиий район,  м.Заліщики, на кладовищі,                   в 20 метрах від центрального входу;Заліщицьке житлово-комунальне підприємство;Рiшення виконавчого комітету Тернопільської обласної ради вiд 23.10.1972 р. №537                           ;;;;;;;;;;;;;
188;"""Софора японська""";пам`ятка природи;ботанічна;0,01;Заліщицький район,  м. Заліщики, на кладовищі,                   в 20 метрах від центрального входу;Заліщицьке житлово-комунальне підприємство;Рiшення виконавчого комітету Тернопільської обласної ради вiд 23.10.1972 р.  №537    ;;;;;;;;;;;;;
189;"""Горіх ведмежий  №1""";пам`ятка природи;ботанічна;0,01;Заліщицький район,      м. Заліщики, біля універмагу;Заліщицьке житлово-комунальне підприємство;Рiшення виконавчого комітету Тернопільської обласної ради вiд 23.10.1972 р. №537;;;;;;;;;;;;;
190;"""Горіх ведмежий  №2""";пам`ятка природи;ботанічна;0,01;Теребовлянський район, с. Кровінка, Теребовлянське  л-во, кв.80 в.12, садиба лісництва;"ДП ""Тернопільське лісове  господарство""";Рiшення Тернопільської обласної ради  вiд 26.02.1999 р. № 50    ;;;;;;;;;;;;;
191;"""Сосна австрійська""";пам`ятка природи;ботанічна;0,02;Теребовлянський район,  с.Струсів, біля будинку школи інтернату;Струсівська школа-інтернат;Рiшення виконавчого комітету Тернопільської обласної ради вiд 17.11.1969 р. №747                                                  ;;;;;;;;;;;;;
192;„Улашківські сосни„;пам`ятка природи;ботанічна;5;Чортківський район, с.Улашківці, кв.96, вид 11 Улашківське лісництво, лісове урочище „Улашківська стінка„;ДП „Чортківське лісове господарство„;Рішення  Тернопільської обласної ради від 15.12. 2011 р. №1291;;;;;;;;;;;;;
193;"""Сосна пірамідальна звичайна""";пам`ятка природи;ботанічна;0,01;"Кременецький район, с.Великі Млинівці,  Кременецьке л-во, кв.15 в.4, лісове урочище ""Тарнобір""";"ДП ""Кременецьке лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд14.10.1967 р.  №734                      ;;;;;;;;;;;;;
194;"""Сосна Веймутова""";пам`ятка природи;ботанічна;0,04;"Гусятинський район, с.Яблунів, Копичинецьке л-во, кв.45 в.1, лісове урочище ""Яблунівська дача""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 17.11.1969 р. №747                                                  ;;;;;;;;;;;;;
195;"""Сосна Веймутова""";пам`ятка природи;ботанічна;0,02;Чортківський район,  с.Бичківці, у старому парку біля церкви;Бичківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
196;"""Сосна Веймутова""";пам`ятка природи;ботанічна;0,01;Чортківський район,  м.Чортків, вул.Степана Бандери, 56, біля приміщення КЕЧ;Чортківська міська рада;Рiшення Тернопільської обласної ради  вiд 08.09.2006 р. №44;;;;;;;;;;;;;
197;"""Ясен однолистий плакучої форми""";пам`ятка природи;ботанічна;0,01;Теребовлянський район,  с.Мшанець, неподалік садиби СПП, біля дороги;Мшанецька сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;
198;"""Ясен однолистий""";пам`ятка природи;ботанічна;0,01;Кременецький район, м.Кременець, вул. Осовиця, південна околиця;Кременецька міська рада;Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;
199;"""Ялиця каліфорнійська""";пам`ятка природи;ботанічна;0,01;Кременецький район,  м.Кременець, польський цвинтар;Кременецька міська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 28.12.1970 р.  №829           ;;;;;;;;;;;;;
200;"""Чортківська катальпа""";пам`ятка природи;ботанічна;0,01;Чортківський район,  м.Чортків, вул.Шевченка, 23, у сквері біля адмінбудинку районної ради та райдержадміністрації;Чортківська міська рада;Рiшення Тернопільської обласної ради вiд 08.09.2006 р.  №44                          ;;;;;;;;;;;;;
201;"""Кедр сибірський""";пам`ятка природи;ботанічна;0,01;Кременецький район,  м.Кременець, вул.Потік Ірви, 20, садиба;Кременецька міська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;
202;"""Група екзотів""";пам`ятка природи;ботанічна;0,03;Теребовлянський район,  с.Лошнів, садиба лікарської амбулаторії;Лошнівська сільська рада ;Рiшення виконавчого комітету Тернопільської обласної ради вiд 22.12.1987 р.  №310      ;;;;;;;;;;;;;
203;"""Карія біла""";пам`ятка природи;ботанічна;0,02;"Борщівський район, с.Констанція,  Улашківське л-во, кв.80 в.3, лісове урочище ""Галілея Голубицька""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд  28.12.1970 р. №829 ;;;;;;;;;;;;;
204;"""Платан лондонський""";пам`ятка природи;ботанічна;0,03;Шумський район, с.Бриків, садиба сільськогосподарського підприємства;Бриківська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 21.12.1974 р.  №554                          ;;;;;;;;;;;;;
205;"""Завалівський платан""";пам`ятка природи;ботанічна;0,02;Підгаєцький район,  с.Завалів, садиба селянської спілки;Завалівська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;
206;"""Платани ім. З.І.Довголюка""           ";пам`ятка природи;ботанічна;0,01;Чортківський район, м.Чортків, вул..Дмитра Пігули, 31-б, у парку біля центрального корпусу Чортківської районної лікарні;Чортківська районна комунальна лікарння;Рiшення  Тернопільської обласної ради  від 18.06.2009 р. №620;;;;;;;;;;;;;
207;"""Платани-кучерики""";пам`ятка природи;ботанічна;0,02;Чортківський район,м.Чортків, вул.Й.Сліпого,2, територія дитячого садка;Дошкільний навчальний заклад №3, м.Чортків;Рішення Тернопільської обласної ради від 20.08.2010 №1043;;;;;;;;;;;;;
208;"""Айлант Антона Горбачевського""";пам`ятка природи;ботанічна;0,01;Чортківський район, м.Чортків, вул.Степана Бандери, в сквері навпроти будтнку №27;Чортківська міська рада;Рішення Тернопільської обласної ради від 08.09.2006р. №44;;;;;;;;;;;;;
209;"""Горіх чорний""";пам`ятка природи;ботанічна;0,03;Збаразький район,  м.Збараж, старий парк;"Збаразький державний історико-архітектурнийо заповідник ""Замки Тернопілля""";Рiшення виконавчого комітету Тернопільської обласної ради вiд  28.12.1970 р. №829 ;;;;;;;;;;;;;
210;"""Горіх чорний (2 шт.)""";пам`ятка природи;ботанічна;0,02;"Заліщицький район, с.Нирків,  Дорогичівське л-во, кв.29 в.2, лісове урочище ""Нирків""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 17.11.1969 р. №747                                                    ;;;;;;;;;;;;;
211;"""Горіх чорний""";пам`ятка природи;ботанічна;0,02;Заліщицький район,  с.Угриньківці, біля річки Тупи, правий берег, присадибна ділянка школи;Угриньківська загальноосвітня школа I-III ступенів;Рiшення виконавчого комітету Тернопільської обласної ради вiд  23.10.1972 р.  №537;;;;;;;;;;;;;
212;"""Горіх чорний""";пам`ятка природи;ботанічна;0,05;"Борщівський район, с.Гермаківка,  Гермаківське л-во, кв.15 в.13, лісове урочище ""Дача"" Романського""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд  28.12.1970 р. №829;;;;;;;;;;;;;
213;"""Горіх чорний""";пам`ятка природи;ботанічна;0,02;Борщівський район,  с.Більче-Золоте, біля музичної школи;Більче-Золотецька музична школа;Рiшення виконавчого комітету Тернопільської обласної ради вiд 28.12.1970 р.  №829           ;;;;;;;;;;;;;
214;"""Горіх чорний (3шт.)""";пам`ятка природи;ботанічна;0,06;"Зборівський район, с.Іванівці,  Мшанецьке л-во, кв.91 в.3, лісове урочище ""Янківці""";"ДП ""Тернопільське лісове  господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 28.12.1970 р. №829;;;;;;;;;;;;;
215;"""Горіх чорний (4шт.)""";пам`ятка природи;ботанічна;0,04;"Підгаєцький район,  с.Завалів, біля автошляху ""Підгайці-Галич""";Завалівська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 28.12.1970 р. № 829    ;;;;;;;;;;;;;
216;"""Заповідний куточок Миколи Чайковського""";пам`ятка природи;ботанічна;0,03;м. Тернопіль, вул.Винниченка,13, у дворі будинку;"Приватне підприємство ""Дружба - сервіс - житло1""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.   Рiшення Тернопільської обласної ради  вiд 12.11.2013 р. №1522;;;;;;;;;;;;;
217;"""Малоурманські черевички""";пам`ятка природи;ботанічна;2,7;"Бережанський район, с. Урмань,Урманське лісництво кв.55 вид.2,3, лісове урочище ""Сала Урмань"" ";"ДП ""Бережанське лісомисливське господарство""";Рiшення Тернопільської обласної ради  вiд 23.12.2005 р. № 519 ;;;;;;;;;;;;;
218;"""Шупарський феномен""";пам`ятка природи;ботанічна;0,5;"Борщівський район, с.Шупарка, Шупарське л-во, кв.15 в.11, лісове урочище ""Шупарка""";"ДП ""Чорткiвське лiсове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 21.12.1974 р.  № 554                          ;;;;;;;;;;;;;
219;"""Монастириська ділянка""";пам`ятка природи;ботанічна;1,2;"Бучацький район, с.Жизномир,  Бучацьке л-во,  кв.46 в.5,  лісове урочище ""Бучач""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 189                                                     ;;;;;;;;;;;;;
220;"""Зеленчанська ділянка""";пам`ятка природи;ботанічна;4,6;"Теребовлянський район, с.Зеленче, Теребовлянське л-во, кв.105 в.7, лісове урочище ""Дача ""Теребовлянська""";"ДП ""Тернопільське лісове  господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. № 189                                                        ;;;;;;;;;;;;;
221;"""Буданівські шафрани""";пам`ятка природи;ботанічна;24;"Теребовлянський район, с.Кобиловолоки, Буданівське л-во, кв.36 в.5,6, кв.50 в.4,  лісове урочище ""Млиниська"" ";"ДП ""Тернопільське лісове  господарство""";Рiшення Тернопільської обласної ради  вiд 30.01.2003 р.№ 98;;;;;;;;;;;;;
222;"""Олексинська ділянка""";пам`ятка природи;ботанічна;1;"Борщівський район, с.Олексинці, Більче-Золотецьке л-во, кв.6 в.6, лісове урочище ""Мушкарівка"", лівий схил долини р.Серет";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1976 р. № 637 ;;;;;;;;;;;;;
223;"""Кривченська степова ділянка""";пам`ятка природи;ботанічна;8,6;"Борщівський район,  околиця с.Кривче, лівий схил долини р.Циганки, між печерами ""Кришталева"" та ""На Хомах""";Кривченська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд  17.11.1969 р.  № 747, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238;;;;;;;;;;;;;
224;"""Дзвенигородська степова ділянка №1""";пам`ятка природи;ботанічна;3;"Борщівський район,  с.Дзвенигород, Мельнице-Подільське л-во, кв.82 вид.11, кв.83  вид.1, лісове урочище""Рижки""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд  26.12.1976 р.  № 637 ;;;;;;;;;;;;;
225;"""Дзвенигородська степова ділянка №2""";пам`ятка природи;ботанічна;2;Борщівський район, с.Дзвенигород, південна околиця, схил  південної експозиції долини         р. Дністер;Урожайнівська сільська рада;Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;
226;"""Мельнице-Подільська стінка""";пам`ятка природи;ботанічна;5;"Борщівський район,  смт.Мельнице-Подільська, Мельнице-Подільське л-во, кв. 60 в.24, 41, лівий схил долини   р. Дністер, лісове   ур. ""Наддністрянська стінка""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 23.10.1972 р. № 537 ;;;;;;;;;;;;;
227;"""Устянська ділянка""";пам`ятка природи;ботанічна;1,5;Борщівський район, с.Устя, верхня частина віддаленого схилу  долини р. Дністер, між старим кар'єром та яром;" ВАТ ""Устянське""";Рiшення виконавчого комітету Тернопільської обласної ради від  21.12.1974 р.  №554                          ;;;;;;;;;;;;;
228;"""Надустянська ділянка""";пам`ятка природи;ботанічна;1,5;Борщівський район,  с.Устя, лівий високий схил долини р.Дністер, вище по течії  від гирла р. Нічлави;"ВАТ ""Устянське""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;
229;"""Більче-Золотецька ділянка №1""";пам`ятка природи;ботанічна;0,5;Борщівський район,  с.Більче-Золоте, виходи гіпсів на поверхню  в одному кілометрі на північний схід від села (серед полів);Більче-Золотецька сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 23.12.1976 р. №637  ;;;;;;;;;;;;;
230;"""Більче-Золотецька ділянка №2""";пам`ятка природи;ботанічна;0,5;Борщівський район,  с.Більче-Золоте, виходи гіпсів на поверхню  в 1,5 км на північний схід від села (серед полів);Більче-Золотецька сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради  вiд 23.12.1976 р.  №637 ;;;;;;;;;;;;;
231;"""Урочище ""Лисиця""";пам`ятка природи;ботанічна;3;Бережанський район,  с.Рогачин, лівий схил західної експозиції долини р. Нараївки ;Рогачинська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
232;"""Урочище ""Ступник""";пам`ятка природи;ботанічна;0,5;Бережанський район,  с.Нараїв,  заплава р. Нараївки;Нараївська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
233;"""Ділянка цілини в ур.""Гутисько""";пам`ятка природи;ботанічна;18;Бережанський район, с. Гутисько, південна околиця, схил північної експозиції;Підвисоцька сільська рада;Рiшення Тернопільської обласної ради  вiд 26.02.1999 р. №50;;;;;;;;;;;;;
234;"""Хвалкова дача""";пам`ятка природи;ботанічна;10;Бережанський район, х.Базниківна Саранчуківської сільської ради, південно-східна околиця;Саранчуківська сільська рада;Рiшення Тернопільської обласної ради  вiд 26.02.1999 р. №50;;;;;;;;;;;;;
235;"""Берем'янська наскельно-степова ділянка""";пам`ятка природи;ботанічна;18;"Бучацький район, с.Берем'яни, урочище ""Червона гора"", північний схил долини р. Дністер, нижче по течії від гирла р.Стрипа";Беремянська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238;;;;;;;;;;;;;
236;"""Гора ""Любовня""";пам`ятка природи;ботанічна;2,7;Гусятинський район,  с.Вікно,  на північний схід  від села, відрога Товтрової гряди;Вікнянська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд  17.11.1969 р. №747, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238 ;;;;;;;;;;;;;
237;"""Васильківська степова ділянка""";пам`ятка природи;ботанічна;4,7;"Гусятинський район,  с.Васильківці, урочище  ""Юрківці""";Васильківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р., зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238;;;;;;;;;;;;;
238;"""Синьківська кострицева степова ділянка""";пам`ятка природи;ботанічна;9,2;Заліщицький район, с.Синьків, схил південної експозиції долини р. Дністера , біля кар'єру;Синьківська сільська рада;Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;
239;"""Богданівський степ""";пам`ятка природи;ботанічна;7,76;Заліщицький район,  с.Колодрібка, лівий віддалений схил долини р. Дністра;Колодрібська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238 ;;;;;;;;;;;;;
240;"""Зозулинська степова ділянка №1""";пам`ятка природи;ботанічна;2,4;Заліщицький район, с.Зозулинці,   між селами Зозулинцями і Виноградним, верхня частина схилу           р. Дністра;Зозуленська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд  23.10.1972 р.  №537, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238  ;;;;;;;;;;;;;
241;"""Зозулинська степова ділянка №2""";пам`ятка природи;ботанічна;1;"Заліщицький район,  с. Зозулинці, Наддністрянське  л-во, кв.58 в.23, лісове урочище ""Зозулинці""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;
242;"""Стінка ""Городок-Костільники"" ";пам`ятка природи;ботанічна;11,4;Заліщицький район, між с.Городок та с.Зозулинці, схил південної експозиції долини р. Дністера ;Зозулинська сільська рада;Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;
243;"""Деренівська стінка""";пам`ятка природи;ботанічна;6;"Заліщицький район, с.Касперівці,  Заліщицьке  л-во, кв.81 в.2, лісове урочище ""Деренівка""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної  ради від 21.12.1974 р. №554                                          ;;;;;;;;;;;;;
244;"""Стінка- Криве""";пам`ятка природи;ботанічна;5;"Заліщицький район, с.Бедриківці,  Заліщицьке  л-во, кв.80, лісове урочище ""Криве""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645          ;;;;;;;;;;;;;
245;"""Устечківська ділянка""";пам`ятка природи;ботанічна;1,1;"Заліщицький район,    с. Шутроминці, Дорогичівське  л-во, кв.65 в.6, лісове урочище ""Нирків""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд  27.12.1976 р. №637 ;;;;;;;;;;;;;
246;"""Хмелівська ділянка""";пам`ятка природи;ботанічна;6;"Заліщицький район,    с. Хмелева,  Дорогичівське  л-во, кв.7 в.7, лісове урочище ""Свершківці""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131 зі змінами, затвердженими рішенням виконкому Тернопільської обласної ради від 19.11.1984. №320;;;;;;;;;;;;;
247;"""Чумацька ділянка""";пам`ятка природи;ботанічна;7,4;"Збаразький район,  с.Романове село,  1,5 кілометра на північний схід від села, урочище ""Сапариха""";Романовоселівська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради  30.08.1990 р. №189, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238;;;;;;;;;;;;;
248;"""Оприлівські папороті""";пам`ятка природи;ботанічна;1;Збаразький район, околиця с.Оприлівці, схил західної експозиції, дорога в межах Товтрової гряди;Новиківська сільська рада;Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;
249;"""Рогівська ділянка""";пам`ятка природи;ботанічна;3,3;"Козівський район, північно східна околиця с.Криве, біля  лісового урочища ""Криве""";Кривенська сільська рада;Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                    ;;;;;;;;;;;;;
250;"""Степова ділянка ""Торки""";пам`ятка природи;ботанічна;8,3;"Козівський район, с.Криве, ур.""Торки"", схил південної експозиції у долині потічка";Кривенська сільська рада;Рiшення Тернопільської обласної ради  вiд 26.02.1999 р. №50;;;;;;;;;;;;;
